dt_year,dt_month,count
2020,4,174
2020,8,18
2020,12,6
2021,2,38
2021,1,31
2020,7,94
2020,6,132
2020,3,219
2021,3,23
2020,5,54
2020,11,15
2020,10,13
2020,9,18
